job_title,so_mau,luong_trung_binh,luong_trung_vi,luong_thap_nhat,luong_cao_nhat
thực tập sinh phát triển công nghệ python,1,500.0,500.0,500.0,500.0
ceo stainless steel manufacturing,2,437.5,437.5,375.0,500.0
phó tổng giám đốc công nghệ,1,375.0,375.0,250.0,500.0
tổng giám đốc karofi,1,375.0,375.0,250.0,500.0
môi giới nhà dân hcm tự do thời gian đào tạo pháp lý bđs trên 36tr giao dịch cho sale không doanh số nguồn khách nguồn nhà có sẵn,1,318.0,318.0,36.0,600.0
môi giới nhà hcm hỗ trợ 90 marketing việc làm thêm được hướng dẫn làm việc đội nhóm tự do thời gian,1,318.0,318.0,36.0,600.0
nhân viên kinh doanh bất động sản lương cứng tới 15 triệu không áp doanh số và hỗ trợ chi phí marketing,1,275.0,275.0,50.0,500.0
chuyên viên kinh doanh tư vấn bán hàng lương cứng lũy tiến tới 20 triệu,1,255.0,255.0,10.0,500.0
chuyên viên kinh doanh phú mỹ hưng,1,254.0,254.0,8.0,500.0
thực tập sinh trợ lý cá nhân fulltime parttime,1,250.0,250.0,0.0,500.0
tuyển dụng thực tập sinh tuyển dụng khu vực hcm,1,250.0,250.0,0.0,500.0
bác sĩ da liễu hệ thống,1,225.0,225.0,200.0,250.0
bác sĩ nội khoa hệ thống,1,225.0,225.0,200.0,250.0
工厂财务 主管 tài chính nhà máy trưởng ban tài chính（会中文）,1,220.0,220.0,140.0,300.0
越南纺织厂机修工 thợ sửa chữa thiết bị trong nhà máy dệt may,1,220.0,220.0,140.0,300.0
cộng tác viên kinh doanh bđs thời gian linh động,1,175.0,175.0,50.0,300.0
national sales head,1,162.5,162.5,125.0,200.0
nhân viên kinh doanh bất động sản không yêu cầu kinh nghiệm được đào tạo,2,150.0,125.0,50.0,300.0
thực tập sinh,5,143.6,3.5,1.0,700.0
international sales director,1,137.5,137.5,100.0,175.0
sales manager us market,1,137.5,137.5,125.0,150.0
automotive exteriors design engineer,2,135.5,121.0,92.0,200.0
chuyên viên tư vấn bất động sản căn hộ lương cứng lên đến 11tr data đào tạo,1,125.0,125.0,50.0,200.0
ecu software test engineer,1,125.0,125.0,100.0,150.0
giám đốc điều hành – ngành thực phẩm,1,125.0,125.0,100.0,150.0
head of transportation,1,125.0,125.0,100.0,150.0
general manager,2,117.5,110.0,100.0,125.0
117882 deputy general director real estate,1,115.0,115.0,100.0,130.0
nhân viên kinh doanh bất động sản có lương cứng được cấp 100 data đi làm ngay chấp nhận thực tập sinh,1,115.0,115.0,30.0,200.0
chief expansion officer,1,112.5,112.5,75.0,150.0
chief mate – offshore service vessel,1,112.5,112.5,100.0,125.0
giám đốc nhân sự tập đoàn,1,112.5,112.5,75.0,150.0
mega gangnam bác sĩ da liễu pttm,1,110.0,110.0,70.0,150.0
financial controller,2,106.25,37.5,35.0,200.0
tổng quản lý phòng chờ thương gia,1,106.25,106.25,100.0,112.5
nhân viên kinh doanh thu nhập đến 200tr,1,104.0,104.0,8.0,200.0
116019 general manager advertising,2,100.0,100.0,80.0,120.0
master phun xăm hệ thống,1,100.0,100.0,80.0,120.0
senior contact center manager english speaking,1,100.0,100.0,75.0,125.0
it security manager,2,93.75,93.75,62.5,125.0
embedded software developer,1,91.0,91.0,82.0,100.0
bác sĩ da liễu thu nhập 80 100tr đi làm ngay,1,90.0,90.0,80.0,100.0
bác sĩ da liễu thu nhập 80tr trở lên đi làm ngay,1,90.0,90.0,80.0,100.0
chuyên viên kinh doanh bđs tiếng trung,1,90.0,90.0,80.0,100.0
nhân viên kỹ sư,2,90.0,90.0,60.0,120.0
campaign manager,1,88.75,88.75,82.5,95.0
finance director,1,87.5,87.5,75.0,100.0
giám đốc kinh doanh kênh etc otc,1,87.5,87.5,50.0,125.0
head of art,1,87.5,87.5,75.0,100.0
head of d2c channel,2,87.5,87.5,75.0,100.0
orthopedic surgeon,1,87.5,87.5,50.0,125.0
physiotherapy doctor,1,87.5,87.5,50.0,125.0
senior manager retails display and posm,1,87.5,87.5,50.0,125.0
senior ohse advisor,1,87.5,87.5,75.0,100.0
solution architect,1,87.5,87.5,75.0,100.0
110902 quality assurance manager trưởng phòng quản lý chất lượng it,1,85.0,85.0,70.0,100.0
giám đốc trung tâm công nghệ blockchain,1,85.0,85.0,70.0,100.0
