job_title,so_viec_lam
nhân viên kinh doanh,765
kế toán tổng hợp,451
chuyên viên kinh doanh,184
nhân viên kế toán,172
chuyên viên tư vấn giáo dục,166
chuyên viên tư vấn tài chính kênh liên doanh ngân hàng bidv,154
trưởng phòng kinh doanh,152
nhân viên chăm sóc khách hàng,148
nhân viên kỹ thuật,146
kế toán trưởng,144
chuyên viên tuyển dụng,123
nhân viên hành chính nhân sự,114
nhân viên bán hàng,112
nhân viên marketing,109
nhân viên kinh doanh thị trường,106
kế toán nội bộ,95
trưởng phòng marketing,94
nhân viên tư vấn trả góp,92
nhân viên kế toán tổng hợp,91
kế toán thuế,82
nhân viên tuyển dụng,78
nhân viên kho,78
nhân viên mua hàng,78
nhân viên thiết kế,76
nhân viên content marketing,67
nhân viên qc,63
kỹ sư xây dựng,61
chuyên viên marketing,61
kế toán kho,61
sales admin,58
nhân viên telesale,58
graphic designer,56
nhân viên digital marketing,56
nhân viên thu mua,56
nhân viên bảo trì,54
kế toán viên,54
chuyên viên đào tạo,54
nhân viên xuất nhập khẩu,54
kiến trúc sư,53
chuyên viên tuyển sinh,53
trưởng nhóm kinh doanh,52
chuyên viên pháp chế,52
giáo viên tiếng anh,52
chuyên viên digital marketing,52
nhân viên tư vấn tuyển sinh,51
quản lý cửa hàng,51
nhân viên sale admin,49
nhân viên kế hoạch sản xuất,49
chuyên viên nhân sự,49
trưởng phòng hành chính nhân sự,49
trình dược viên otc,48
content marketing,48
kỹ sư qs,47
cửa hàng trưởng,47
kế toán thanh toán,46
giám đốc kinh doanh,46
digital marketing,45
kỹ sư điện,45
nhân viên lễ tân,44
nhân viên tư vấn bán hàng,44
nhân viên kế toán nội bộ,43
video editor,43
kế toán bán hàng,42
nhân viên kế toán thuế,41
chuyên viên tư vấn giáo dục thu nhập từ 13 triệu tháng phỏng vấn đi làm ngay,41
sales executive,41
trợ lý giám đốc,40
thủ kho,40
kế toán công nợ,40
marketing executive,39
chăm sóc khách hàng,39
nhân viên kế toán kho,38
chuyên viên mua hàng,38
trợ lý tổng giám đốc,37
chuyên viên tư vấn bảo hiểm kênh liên doanh ngân hàng bidv,37
nhân viên vận hành máy,37
nhân viên thủ kho,37
sales manager,36
content creator,35
nhân viên kinh doanh b2b,35
nhân viên telesales,35
kỹ sư cơ khí,35
nhân viên kinh doanh không yêu cầu kinh nghiệm,35
chuyên viên tư vấn tuyển sinh,34
chuyên viên trade marketing,34
quản lý sản xuất,34
nhân viên sales admin,33
tư vấn bán hàng,33
nhân viên phát triển thị trường,33
trình dược viên,32
trợ lý kinh doanh,32
sale admin,32
nhân viên phục vụ,32
nhân viên kỹ thuật điện,32
chuyên viên thiết kế,31
giám sát công trình,31
chuyên viên hành chính nhân sự,31
nhân viên it,31
giám sát kinh doanh,30
nhân viên media,30
nhân viên thiết kế đồ họa,30
nhân viên kinh doanh quốc tế,30
nhân viên quay dựng,30
kỹ sư thiết kế cơ khí,30
chuyên viên kế toán,30
nhân viên cơ điện,30
nhân viên hành chính,30
giáo viên mầm non,29
chuyên viên kiểm soát nội bộ,29
nhân viên phụ kho,29
chuyên viên kế toán tổng hợp,29
nhân viên content,28
nhân viên kế toán bán hàng,28
trình dược viên etc,28
nhân viên qa,28
giám sát bán hàng kênh gt,28
chuyên viên tài chính,28
trưởng nhóm tuyển dụng,28
nhân viên phát triển kinh doanh,27
nhân viên livestream,27
sales engineer,27
chủ nhiệm lớp anh ngữ,27
chuyên viên chăm sóc khách hàng,26
chỉ huy trưởng,26
giám sát thi công,26
trưởng nhóm marketing,26
chuyên viên media,26
kỹ sư hiện trường,26
nhân viên sale thị trường trà sữa,26
chuyên viên tư vấn,25
chuyên viên tư vấn bảo hiểm kênh hợp tác ngân hàng mb,25
nhân viên hỗ trợ thanh toán tại địa bàn,25
chuyên viên c b,25
nhân viên kinh doanh online,25
digital marketing executive,25
nhân viên kinh doanh bất động sản,24
nhân viên thiết kế nội thất,24
kỹ sư thiết kế,24
nhân viên vận hành sàn thương mại điện tử,24
phiên dịch tiếng trung,24
kỹ sư kinh tế xây dựng,24
nhân viên kinh doanh dịch vụ viễn thông,23
trưởng phòng nhân sự,23
kỹ sư nông nghiệp,23
nhân viên kinh doanh phần mềm,23
nhân viên kinh doanh dự án,23
nhân viên kinh doanh nội thất,23
nhân viên bán hàng đa nhiệm,22
nhân viên kinh doanh thiết bị y tế,22
nhân viên nhân sự,22
marketing manager,21
tổ trưởng sản xuất,21
chuyên viên kinh doanh b2b,21
nhân viên lái xe,21
thực tập sinh kinh doanh,21
nhân viên bảo vệ,21
nhân viên sale online,21
nhân viên kỹ thuật cơ khí,20
nhân viên hành chính lễ tân,20
trưởng nhóm tư vấn tuyển sinh,20
phó phòng kinh doanh,20
thực tập sinh kế toán,20
nhân viên tư vấn,20
nhân viên thẩm định,20
đại diện kinh doanh,20
nhân viên kinh doanh đi làm ngay,19
điều dưỡng viên,19
trợ lý tiếng trung,19
business development manager,19
nhân viên kinh doanh xuất khẩu,19
business development executive,19
thực tập sinh marketing,19
chuyên viên quay dựng,19
nhân viên văn phòng,19
nhân viên y tế,19
nhân viên kỹ thuật tòa nhà,19
trình dược viên kênh otc,19
nhân viên kỹ thuật bảo trì,18
nhân viên kinh doanh vật liệu xây dựng,18
kỹ thuật viên,18
trade marketing,18
nhân viên pháp chế,18
chuyên viên tư vấn giáo dục thu nhập từ 13 triệu tháng,18
nhân viên hành chính văn phòng,18
business analyst,18
thực tập sinh nhân sự,18
